US_State,Agency,Unit_ID,Unit_Region,Fire_Name,Inc_Num,Date_Reported,Containment_Date,Fire_Comments,GIS_ACRES
CA,CDF,LNU,Sonoma-Lake- Napa,FOOTHILL,7092.0,7/27/2017,7/27/17,"2 Structures Destroyed, report says 4 house burned",4.2130814
CA,CDF,LNU,Sonoma-Lake- Napa,INDEPENDENCE,7092.0,7/27/2017,7/27/17,,4.2091193
CA,CDF,LNU,Sonoma-Lake- Napa,LAKEVILLE,7364.0,8/3/2017,8/3/17,,37.015125
CA,CDF,LNU,Sonoma-Lake- Napa,CANYON,7678.0,8/11/2017,10/12/17,,114.11681
CA,CDF,LNU,Sonoma-Lake- Napa,QUAIL,7767.0,8/13/2017,10/13/17,,9.7670984
CA,CDF,LNU,Sonoma-Lake- Napa,TIMM,9783.0,10/2/2017,10/3/17,,125.79181
CA,CDF,LNU,Sonoma-Lake- Napa,WINTER,6262.0,7/6/2017,7/12/17,,2366.2349
CA,CDF,LNU,Sonoma-Lake- Napa,BODEGA,8288.0,8/27/2017,8/28/17,,17.768339
CA,CDF,LNU,Sonoma-Lake- Napa,ESTATE,9420.0,9/23/2017,9/23/17,6 houses burned,42.803341
CA,CDF,LNU,Sonoma-Lake- Napa,FORT,9994.0,10/7/2017,10/8/17,,18.280649
CA,CDF,LNU,Sonoma-Lake- Napa,REDWOOD,9324.0,9/20/2017,9/21/17,,14.026862
CA,CDF,LNU,Sonoma-Lake- Napa,MULE,9729.0,9/5/2017,9/6/17,,21.266874
CA,CDF,LNU,Sonoma-Lake- Napa,SPRINGS,8536.0,9/1/2017,9/2/17,,13.125321
CA,CDF,LNU,Sonoma-Lake- Napa,RIDGE,9953.0,10/6/2017,10/8/17,,54.956593
CA,CDF,LNU,Sonoma-Lake- Napa,SPRING,8425.0,8/30/2017,8/30/17,,11.888857
CA,CDF,LNU,Sonoma-Lake- Napa,NUNS,10049.0,10/8/2017,10/31/17,"Nuns,Partrick, Adobe, Norrbom and Pressley>Nuns ",55798.191
CA,CDF,LNU,Sonoma-Lake- Napa,PRESSLEY,10049.0,10/8/2017,10/31/17,"Nuns,Partrick, Adobe, Norrbom and Pressley>Nuns ",791.88812
CA,CDF,LNU,Sonoma-Lake- Napa,37,10393.0,10/8/2017,10/17/17,Marin Co. Fire Assist,1657.3694
CA,CDF,LNU,Sonoma-Lake- Napa,YOUNG,10104.0,10/8/2017,10/25/17,,106.00541
CA,CDF,LNU,Sonoma-Lake- Napa,TUBBS,10104.0,10/8/2017,11/1/17,Central Complex,36701.984
CA,CDF,LNU,Sonoma-Lake- Napa,POCKET,10104.0,10/8/2017,11/1/17,Central Complex,17359.328
CA,CDF,LNU,Sonoma-Lake- Napa,ATLAS,10105.0,10/8/2017,11/1/17,Southern Complex,51624.656
CA,CDF,LNU,Sonoma-Lake- Napa,SULPHER,10055.0,10/9/2017,10/25/17,Mendocino Lake Complex,2206.2302
CA,CDF,LNU,Sonoma-Lake- Napa,CLOVER,9421.0,9/23/2017,9/24/17,,13.898865
CA,CDF,LNU,Sonoma-Lake- Napa,ROCKVILLE,8152.0,8/23/2017,8/23/17,,23.239891
CA,CDF,LNU,Sonoma-Lake- Napa,REDWOOD VALLEY,12172.0,10/8/2017,10/25/17,Mendocino Lake Complex,36522.945
CA,CDF,LNU,Sonoma-Lake- Napa,RESERVOIR,7083.0,5/28/2018,5/28/18,,5.4269586
CA,CDF,LNU,Sonoma-Lake- Napa,BERREYESSA,7389.0,6/1/2018,6/1/18,,2.7596102
CA,CDF,LNU,Sonoma-Lake- Napa,BELLAGIO,6606.0,5/21/2018,5/21/18,,12.949141
CA,CDF,LNU,Sonoma-Lake- Napa,EIGHTY EIGHT,10755.0,7/18/2018,7/21/18,,822.23004
CA,CDF,LNU,Sonoma-Lake- Napa,COUNTY,9502.0,6/30/2018,7/11/18,,89831.148
CA,CDF,LNU,Sonoma-Lake- Napa,MADISON,7376.0,6/1/2018,6/1/18,,12.085174
CA,CDF,LNU,Sonoma-Lake- Napa,STEELE,11447.0,7/28/2018,8/1/18,,136.79541
CA,CDF,LNU,Sonoma-Lake- Napa,NELSON,12354.0,8/10/2018,8/12/18,,2158.4294
CA,CDF,LNU,Sonoma-Lake- Napa,CACHE,13335.0,8/26/2018,8/28/18,,103.55011
CA,CDF,LNU,Sonoma-Lake- Napa,MADRONA,12719.0,8/16/2018,8/16/18,,12.975188
CA,CDF,LNU,Sonoma-Lake- Napa,EAST,12207.0,8/8/2018,8/9/18,,40.674423
CA,CDF,LNU,Sonoma-Lake- Napa,SYAR,12271.0,8/9/2018,8/9/18,,10.19067
CA,CDF,LNU,Sonoma-Lake- Napa,GRADE,13577.0,8/30/2018,8/30/18,,58.435104
CA,CDF,LNU,Sonoma-Lake- Napa,RIDGE,3781.0,9/2/2018,9/3/18,,35.200436
CA,CDF,LNU,Sonoma-Lake- Napa,CARDER,,7/21/2018,7/21/18,,50.16753
CA,CDF,LNU,Sonoma-Lake- Napa,KELSEY,13848.0,9/3/2018,9/3/18,,24.470213
CA,CDF,LNU,Sonoma-Lake- Napa,SNELL,14193.0,9/8/2018,9/15/18,,2488.218
CA,CDF,LNU,Sonoma-Lake- Napa,RIVER,8653.0,7/27/2018,8/10/18,MENDOCINO_COMPLEX,48920.391
CA,CDF,LNU,Sonoma-Lake- Napa,RANCH,8646.0,7/27/2018,9/19/18,MENDOCINO_COMPLEX,410202.47
CA,CDF,LNU,Sonoma-Lake- Napa,SPRING 2,10121.0,7/9/2018,7/11/18,,121.8599
CA,CDF,LNU,Sonoma-Lake- Napa,PAWNEE,9002.0,6/23/2018,7/5/18,,15196.922
CA,CDF,LNU,Sonoma-Lake- Napa,OAK,16101.0,9/7/2019,9/10/19,,53.116959
CA,CDF,LNU,Sonoma-Lake- Napa,EAGLE,20533.0,11/4/2019,11/4/19,,73.550552
CA,CDF,LNU,Sonoma-Lake- Napa,KINCADE,19376.0,10/23/2019,11/10/19,,77762.141
CA,CDF,LNU,Sonoma-Lake- Napa,AMERICAN,18056.0,10/6/2019,10/7/19,,526.85785
CA,CDF,LNU,Sonoma-Lake- Napa,CANYON,12823.0,7/22/2019,7/25/19,,48.001408
CA,CDF,LNU,Sonoma-Lake- Napa,OLIVE,10653.0,6/19/2019,6/20/19,,16.01936
CA,CDF,LNU,Sonoma-Lake- Napa,BACHELOR,16252.0,9/9/2019,9/9/19,,15.837549
CA,CDF,LNU,Sonoma-Lake- Napa,GLASS,15917.0,9/4/2019,9/4/19,,23.919117
CA,CDF,LNU,Sonoma-Lake- Napa,SAND,9880.0,6/8/2019,6/13/19, ,2422.0176
CA,CDF,LNU,Sonoma-Lake- Napa,SODA,6134.0,4/17/2021,4/17/21,,1.2086605
CA,CDF,LNU,Sonoma-Lake- Napa,CERRITO,6212.0,4/18/2021,4/18/21,,1.0564555
CA,CDF,LNU,Sonoma-Lake- Napa,MUNIZ,6305.0,4/20/2021,4/20/21,,2.2278857
CA,CDF,LNU,Sonoma-Lake- Napa,TULLEY,6772.0,4/28/2021,4/30/21,,62.661484
CA,CDF,LNU,Sonoma-Lake- Napa,WILSON,6827.0,4/29/2021,4/29/21,,1.5523393
CA,CDF,LNU,Sonoma-Lake- Napa,COUNTY,7374.0,5/8/2021,5/8/21,,2.8543985
CA,CDF,LNU,Sonoma-Lake- Napa,LOPEZ,7390.0,5/8/2021,5/11/21,,55.250637
CA,CDF,LNU,Sonoma-Lake- Napa,MOODY,7966.0,5/16/2021,5/17/21,,20.242249
CA,CDF,LNU,Sonoma-Lake- Napa,WEST,8516.0,5/26/2021,5/26/21,,2.5883801
CA,CDF,LNU,Sonoma-Lake- Napa,GROVE,8530.0,5/26/2021,5/26/21,,8.7654066
CA,CDF,LNU,Sonoma-Lake- Napa,ACACIA,8736.0,5/29/2021,5/29/21,,6.0820489
CA,CDF,LNU,Sonoma-Lake- Napa,DREAM,11470.0,6/23/2021,6/23/21,,4.7697477
CA,CDF,LNU,Sonoma-Lake- Napa,GRANGE,11470.0,7/7/2021,7/7/21,,6.6121058
CA,CDF,LNU,Sonoma-Lake- Napa,GIBSON,13170.0,7/20/2021,7/22/21,,29.983725
CA,CDF,LNU,Sonoma-Lake- Napa,EASTSIDE,13464.0,8/3/2021,8/4/21,,10.858489
CA,CDF,LNU,Sonoma-Lake- Napa,PLYE,13792.0,8/7/2021,8/7/21,,6.2912698
CA,CDF,LNU,Sonoma-Lake- Napa,NEWELL,18453.0,10/11/2021,10/11/21,,137.13344
CA,CDF,LNU,Sonoma-Lake- Napa,DIMOND,13180.0,7/30/2021,7/30/21,,4.771153
CA,CDF,LNU,Sonoma-Lake- Napa,STUBBS,13415.0,8/2/2021,8/2/21,,1.3778498
CA,CDF,LNU,Sonoma-Lake- Napa,SCOTTS,6769.0,4/28/2021,4/28/21,,8.720953
CA,CDF,LNU,Sonoma-Lake- Napa,OLD,1062.0,1/18/2021,1/18/21,,3.8734975
CA,CDF,LNU,Sonoma-Lake- Napa,SPRING,1124.0,1/19/2021,1/19/21,,1.0176286
CA,CDF,LNU,Sonoma-Lake- Napa,GREEN,7410.0,5/8/2021,5/8/21,,8.6558437
CA,CDF,LNU,Sonoma-Lake- Napa,CREEK WEST,9514.0,6/9/2021,6/10/21,,18.521908
CA,CDF,LNU,Sonoma-Lake- Napa,SKY,6823.0,4/29/2021,4/29/21,,58.346546
CA,CDF,LNU,Sonoma-Lake- Napa,MUSTANG,9778.0,6/13/2021,6/13/21,,7.7337265
CA,CDF,LNU,Sonoma-Lake- Napa,OAK,9827.0,6/14/2021,6/14/21,,2.8424911
CA,CDF,LNU,Sonoma-Lake- Napa,LEESVILLE,11226.0,7/3/2021,7/3/21,,5.5589447
CA,CDF,LNU,Sonoma-Lake- Napa,SPRING,11569.0,7/9/2021,7/9/21,,1.9097496
CA,CDF,LNU,Sonoma-Lake- Napa,COLEMAN,12270.0,7/18/2021,7/18/21,,2.7148468
CA,CDF,LNU,Sonoma-Lake- Napa,CREEK,13307.0,8/1/2021,8/1/21,,3.6955643
CA,CDF,LNU,Sonoma-Lake- Napa,MIDDLE,14198.0,8/13/2021,8/13/21,,25.11647
CA,CDF,LNU,Sonoma-Lake- Napa,I-80 LYNCH,14456.0,8/17/2021,8/17/21,,1.0884795
CA,CDF,LNU,Sonoma-Lake- Napa,CLOVER,15177.0,8/26/2021,8/26/21,,6.7631073
CA,CDF,LNU,Sonoma-Lake- Napa,CREEK,15397.0,8/29/2021,8/29/21,,1.2844987
CA,CDF,LNU,Sonoma-Lake- Napa,MOUNTAIN,14876.0,8/22/2021,8/22/21,,1.0393443
CA,LRA,LNU,Sonoma-Lake- Napa,GADDY,8595.0,10/3/2013,10/4/13,,17.726341
CA,LRA,LNU,Sonoma-Lake- Napa,LAKESHORE,7325.0,8/30/2013,8/30/13,,6.735321
CA,LRA,LNU,Sonoma-Lake- Napa,OAT,9338.0,10/26/2013,10/26/13,,0.51354706
CA,LRA,LNU,Sonoma-Lake- Napa,SILVERADO,2926.0,4/30/2013,5/1/13,,60.212284
